,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17
IMX,0.1604279542213447,-0.03378354528733518,-0.06861060647024153,-0.07927933049829416,-0.08605740720192157,0.08005112663563319,0.05822455220232259,-0.08170096215803146,0.01744712959292083,0.057827209929316004,0.019369003439709154,-0.0703224934594695,-0.005293609789611353,0.016205239699585983,-0.02194682659300773,0.10386116425356384,-0.013177342627283428,-0.02753386612649733,-0.0026766993461522226,-0.06753044726457036,-0.011197224359906555,0.00747405942458923,-0.26820062704155756,-0.044523854032974874,0.1501791990906831,0.04045506792843545,0.03769686624924451,-0.11377550704549932,-0.04443104170767087,-0.022964391781762128
STX,0.008503262363997566,-0.035386537520211925,0.0050039756566124804,-0.05895986427620836,-0.03291678674356158,-0.0024263958572572353,-0.02391236759603177,-0.030047204632902447,0.021203084290683627,-0.023084818707698185,0.028741095821182894,-0.015933234332305424,-0.002605818023807882,0.06651898495355213,0.00943856480378269,-0.007075389183210823,0.010172665416092297,-0.02853780629738767,0.10136761871483224,-0.09601403951390797,8.293493701394539e-05,-0.005328451753988883,-0.26490562252220673,-0.029219763388371178,0.0893723903794732,0.006431221228311523,0.015151104285368255,-0.03763956479450237,-0.04415824495927978,-0.01917997118475201
CRO,-0.007174529873475555,-0.011215803066106478,-0.013195585325234682,-0.09728388544705469,0.0047911077579865236,0.0017946960764738673,-0.0791731160572382,0.016649929607090108,-0.033427275687920144,-0.012295222009548912,0.012373149288765095,0.006933029912113309,0.019829313484588384,0.10336817399707598,0.012164193408122692,-0.004285968820182506,-0.01763329581721984,-0.01573797740180949,0.012077730706498535,-0.0668253488543109,-0.007985958240268487,-0.013163206585650511,-0.1759600549300585,-0.0018009483240982727,0.08024604165844207,-0.047843708213935465,0.01703549220844236,-0.05487088540600771,-0.06819997378865739,-0.007145969537085128
VET,0.03038667197478384,-0.03778460775355741,-0.011323763643688589,-0.04027432602555647,-0.03909549175463645,-0.006420889375574723,-0.018740148924174416,-0.029208206604183884,0.026763505422766398,-0.02636120124143093,0.014381880720645723,-0.002446817276870128,-0.0026271400235379216,0.07156545900939792,0.012267803965023028,-0.01171348158097163,0.009173984138084013,-0.03192209171986804,0.027868459367568876,-0.044624234983067224,-0.005445278431515654,0.003232004890914908,-0.23087523474518612,0.009229806432246468,0.10082298105158216,-0.009348387086025367,0.009282453228743437,-0.049582189252244,-0.0494561125037869,-0.003247425472322929
MKR,0.00017928977216041808,-0.03841112347263553,-0.03156183908335941,-0.0350550684579124,-0.030002681370189466,0.06040883635826355,-0.05993002082194132,-0.010653984098597524,0.02673961959287774,-0.0388512781537913,0.044396686323138645,-0.03912547636024721,0.04410662020113709,0.038946482024862616,-0.01550928714191735,-0.010649621872339643,0.0033863419345681045,-0.012261802321532178,0.026947042629021034,-0.06074958727083124,0.03233378807131748,-0.0009102225247722417,-0.14443228982237488,0.0237603872120995,0.053457087416320714,-0.002282862433690136,0.01580888986568274,-0.05686213446382393,0.0015405351709711912,-0.008428794559864672
INJ,0.0041808143887382965,-0.0350528240930742,0.0008527478711357617,-0.08702460489680475,-0.031621296683843725,0.0013148117005949977,-0.02244291265236431,-0.04770177622184513,0.017741250364905925,-0.005651464193479949,0.030758890586622067,-0.005836976615959055,0.002392355181332295,0.0631238949486812,0.00636261715078934,0.045674518969321065,-0.037818300979785,0.007674984155592979,0.005410309647475353,-0.058964692552345266,0.008676061338425134,-0.007937725290576236,-0.2686900282942434,-0.042181122893705014,0.0969766294548613,0.0016805032237408035,0.004226668757545848,-0.05045988462457318,-0.04931630399766174,-0.019888258323862096
OP,0.01788255535002814,-0.035505977705655334,0.012611031429572872,-0.09414996789892938,-0.050835770663190005,0.0060100465523940105,-0.03972027775338549,-0.040407135443503495,0.03488673272235765,-0.011097334646391066,0.017524969797722445,-0.008414303718396687,0.0026359049814284052,0.0720688717923128,0.02386179629770724,-0.001563652150664896,0.012180483908785122,-0.02726337461444872,0.03549320307591852,-0.05996977344678034,0.015973326963320877,0.014415221030479097,-0.33789284495402827,-0.04353760496751802,0.038987949333089356,-0.010083147252821445,0.01865673786674371,-0.05220639304442598,-0.06349703224445813,-0.012395141585468172
GRT,-0.0012417650094873611,-0.03598909379648785,0.00817188143393488,-0.06824519035723642,-0.039624702338343254,0.005342103282869992,-0.026869537035556834,-0.030690184499348017,0.030921081588212385,-0.03000968677235505,0.021442287822934336,-0.012504776269166129,0.004051123386560551,0.06787988950191015,0.012793512319788647,-0.038617244737559786,0.021528022545508785,-0.03252152226217342,0.036291056016963585,-0.05560269555453656,0.0043276721932785644,0.0011882023559812716,-0.22224530227229555,0.006770157147431899,0.0665981517631411,0.01096793188698375,0.001525488862937019,-0.043355036876464026,-0.028586420054094397,-0.023428812898836027
KAS,-0.004780435939109151,-0.024617121904478623,-0.013198876660611036,-0.057466200632499076,-0.002314977825659925,0.00676767717279092,-0.029923144146819736,0.030640178160489917,-0.009480221507605968,-0.037659269315465926,0.020631562264377568,-0.012264380626435867,-0.0023093367277918775,0.056692908468108705,0.0018093152244185173,-0.009736896798587136,-0.01987562091094719,-0.025752858930678912,0.039476471359123355,-0.05234798665254303,-0.0016234616181870498,-0.004059609975397116,-0.1913157248417473,-0.04847958930254226,0.06025302859208104,-0.000387311078362651,0.002373279849468224,-0.05528213647742097,-0.07048852361211722,-0.03640609388569427
XLM,-0.007858328182836716,-0.0025940361675804713,-0.0033844726829234117,-0.07230120873014134,0.022967763506404948,-0.010052521198399722,-0.006441304350407018,-0.03424908664428761,0.029755553685072655,-0.012937482328668648,0.024468510033708757,0.010451416205209174,-0.011811236900794442,0.09305213013102587,0.005478746480932717,0.00208240447734398,0.000490428504811069,-0.006034022879331524,0.014697435196776576,-0.06431006487839774,0.0056298496176387935,0.0026338229712203898,-0.15203390151957785,-0.004144967162788893,0.04975430669329173,-0.012808863493933842,0.004041866304212771,-0.039117808998091363,-0.0430573004940672,0.006657161781292942
